feature,coefficient
auction_intensity,4.27686810190562
deal_type_enc,3.5001257082985733
is_financial_buyer,-3.3670736429662202
market_cycle,2.543151253422344
ev_ebitda,-2.2658870042406227
hostile,2.0184163664179633
tender_offer,1.9875279190848831
pct_from_52w_high,-1.8052406239230334
macro_risk,-1.689539928174891
net_debt_ebitda,-1.54610831507339
sec_Technology,1.151838615729928
fcf_yield,0.8047905564545882
peg_proxy,-0.7990379398666015
log_deal_val,-0.6651567416566917
analyst_bullish,-0.6567988831101069
debt_equity,-0.5578194542183998
sec_Financials,-0.4558456384185788
pct_from_52w_low,0.44075474204272763
sec_Healthcare,0.2799217679285184
sec_Real Estate,-0.2769427860214413
profit_margin,0.18994817453340385
deal_val_bn,-0.15926286534664538
relative_deal_size,-0.14911770446365893
analyst_rating,0.1225654059873961
valuation_discount,0.05496154670928295
gross_margin,0.0537376311285459
is_crisis_year,-0.030247831329825607
vix_at_ann,-0.0008159749822400702
